add-m,1,10000,20000,752257,37,0
add-m,2,10000,40000,2987927,74,0
add-m,4,10000,80000,15623418,195,0
add-m,8,10000,160000,20453944,127,0
add-m,12,10000,240000,26311227,109,0
add-s,1,10000,20000,393267,19,0
add-s,2,10000,40000,3946766,98,0
add-s,4,10000,80000,27788251,347,0
add-s,8,10000,160000,80177443,501,0
add-s,12,10000,240000,186794758,778,0
list-none-m,1,1000,1,3000,4058648,1352,45
list-none-m,2,1000,1,6000,23031138,3838,5786
list-none-m,4,1000,1,12000,75899669,6324,25316
list-none-m,8,1000,1,24000,436811161,18200,185173
list-none-m,12,1000,1,36000,771002634,21416,304425
list-none-m,16,1000,1,48000,1558848759,32476,647875
list-none-m,24,1000,1,72000,3635812020,50497,1483248
list-none-s,1,1000,1,3000,3870100,1290
list-none-s,2,1000,1,6000,9813799,1635
list-none-s,4,1000,1,12000,76817331,6401
list-none-s,8,1000,1,24000,391431838,16309
list-none-s,12,1000,1,36000,240533637,6681
list-none-s,16,1000,1,48000,1236615967,25762
list-none-s,24,1000,1,72000,1255686822,17440
